date,end_date,Aceh,Sumatera Utara,Sumatera Barat,Riau,Jambi,Sumatera Selatan,Bengkulu,Lampung,Bangka Belitung,Kepulauan Riau,Dki Jakarta,Jawa Barat,Jawa Tengah,Daerah Istimewa Yogyakarta,Jawa Timur,Banten,Bali,Nusa Tenggara Barat,Nusa Tenggara Timur,Kalimantan Barat,Kalimantan Tengah,Kalimantan Selatan,Kalimantan Timur,Kalimantan Utara,Sulawesi Utara,Sulawesi Tengah,Sulawesi Selatan,Sulawesi Tenggara,Gorontalo,Sulawesi Barat,Maluku,Maluku Utara,Papua Barat,Papua
8-Sep-2020,9-Sep-2020,1,5,2,1,2,5,5,5,5,1,1,1,1,5,1,1,1,1,1,5,1,1,1,5,2,2,1,1,5,2,2,2,2,5
9-Sep-2020,10-Sep-2020,1,5,1,2,2,5,5,5,5,1,1,1,1,5,1,1,1,1,2,5,1,1,1,5,1,2,1,1,5,1,2,2,2,5
10-Sep-2020,11-Sep-2020,1,5,2,3,3,5,5,5,5,1,1,1,5,5,1,1,5,1,1,5,1,1,1,5,1,2,1,1,5,1,2,2,2,5
11-Sep-2020,12-Sep-2020,1,5,2,1,5,5,5,5,5,1,1,1,1,5,1,1,1,1,1,5,1,1,1,5,1,2,1,1,5,3,2,2,2,5
12-Sep-2020,13-Sep-2020,1,5,2,1,5,5,5,5,5,1,1,1,1,5,1,1,1,1,1,5,1,1,1,5,1,2,1,1,5,1,2,2,2,5
13-Sep-2020,14-Sep-2020,1,5,2,1,5,5,5,5,5,1,1,1,1,5,1,1,1,1,2,5,1,1,1,5,1,2,1,1,5,1,2,2,2,5
14-Sep-2020,15-Sep-2020,1,5,2,1,5,5,5,5,5,1,1,1,1,5,1,1,1,2,1,5,1,1,2,5,1,2,1,1,5,2,2,2,2,5
15-Sep-2020,16-Sep-2020,1,5,1,1,5,5,5,5,5,1,1,1,1,5,1,1,1,1,1,5,1,1,1,5,1,2,1,5,5,2,2,2,2,5
16-Sep-2020,17-Sep-2020,1,5,2,1,5,5,5,5,5,1,1,1,1,5,1,1,1,1,1,5,1,1,1,5,1,2,1,1,5,1,2,2,2,5
17-Sep-2020,18-Sep-2020,1,5,2,1,5,5,5,5,5,1,1,1,5,1,1,1,1,2,1,5,1,1,1,5,3,2,1,1,5,1,2,2,2,5
18-Sep-2020,19-Sep-2020,1,5,2,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,2,1,1,5,1,2,2,2,5
19-Sep-2020,20-Sep-2020,2,5,2,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,2,1,1,5,2,2,2,2,5
20-Sep-2020,21-Sep-2020,2,5,2,1,5,5,5,5,5,1,1,1,1,2,1,1,1,1,2,5,1,1,1,5,2,2,1,2,5,1,2,2,2,5
21-Sep-2020,22-Sep-2020,2,5,2,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,3,2,1,1,5,3,2,2,2,5
22-Sep-2020,23-Sep-2020,2,5,2,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,2,1,1,5,1,2,2,2,5
23-Sep-2020,24-Sep-2020,2,5,2,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,2,1,1,5,1,2,2,2,5
24-Sep-2020,25-Sep-2020,2,5,2,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,2,2,1,5,1,2,2,2,5
25-Sep-2020,26-Sep-2020,2,5,2,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,2,5,1,1,1,5,1,2,1,1,5,2,2,2,2,5
26-Sep-2020,27-Sep-2020,2,5,2,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,2,1,1,5,1,2,2,2,5
