Tgl,11,51,36,19,17,34,31,15,32,33,35,61,64,62,63,65,21,52,16,13,71,12,74,73,72,18,14,82,81,94,91,76,53,75,X
2020-03-21,0,1,2,0,0,0,23,0,7,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,0,2,3,0,0,0,29,0,9,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,0,2,3,0,0,0,29,0,9,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,0,2,4,0,0,1,31,0,10,3,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,0,2,4,0,0,2,31,0,10,4,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,0,2,4,0,0,2,46,0,11,6,3,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,0,2,4,0,0,2,51,0,14,6,4,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-28,0,2,4,0,0,2,62,0,17,7,4,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-29,0,2,4,0,0,2,68,0,19,7,7,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,0,2,4,0,0,2,74,0,20,7,8,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,0,2,4,0,1,2,83,0,21,7,8,2,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
2020-04-01,0,2,14,1,1,2,85,0,21,7,9,2,1,0,0,0,1,0,2,0,0,3,0,5,0,0,0,0,0,1,0,0,0,0,0
2020-04-02,0,2,14,1,1,3,90,0,25,7,11,2,1,0,0,0,1,0,2,0,0,3,0,5,0,1,0,0,0,1,0,0,0,0,0
2020-04-03,0,2,14,1,1,3,90,0,25,18,11,2,1,0,0,0,1,0,2,0,0,3,0,5,0,1,0,0,0,1,0,0,0,0,0
2020-04-04,1,2,17,1,1,3,89,0,28,18,14,2,1,0,0,0,1,0,2,0,0,3,0,5,0,1,0,0,0,1,1,0,0,0,0
2020-04-05,1,2,17,1,1,3,95,0,28,18,14,2,1,0,0,0,1,0,2,0,0,4,0,5,0,1,0,0,0,1,1,0,0,0,0
2020-04-06,1,2,17,1,1,3,99,0,29,22,14,2,1,0,0,0,1,0,2,0,0,4,0,6,0,1,0,0,0,1,2,0,0,0,0
